r_time:10:30:08 01.08.2022 | Trade:001 | pos:-1 | len:1 | approx_cum_ret:0.00% | trade_ret:-0.00% | eps:1.0010 | t_time:2010-04-07 10:25:00-04:00 | idx:5002
r_time:10:30:12 01.08.2022 | Trade:002 | pos:1 | len:4 | approx_cum_ret:-0.24% | trade_ret:-0.24% | eps:0.0635 | t_time:2010-04-07 10:50:00-04:00 | idx:5007
r_time:10:31:19 01.08.2022 | Trade:003 | pos:-1 | len:26 | approx_cum_ret:-0.52% | trade_ret:-0.29% | eps:0.0133 | t_time:2010-04-07 13:05:00-04:00 | idx:5034
r_time:10:33:41 01.08.2022 | Trade:004 | pos:1 | len:24 | approx_cum_ret:-1.09% | trade_ret:-0.57% | eps:0.0049 | t_time:2010-04-07 15:10:00-04:00 | idx:5059
r_time:10:35:05 01.08.2022 | Trade:005 | pos:-1 | len:11 | approx_cum_ret:-0.96% | trade_ret:0.14% | eps:0.0026 | t_time:2010-04-08 09:40:00-04:00 | idx:5071
r_time:10:38:20 01.08.2022 | Trade:006 | pos:-1 | len:26 | approx_cum_ret:-1.38% | trade_ret:-0.42% | eps:0.0018 | t_time:2010-04-08 11:55:00-04:00 | idx:5098
r_time:10:51:49 01.08.2022 | Trade:007 | pos:1 | len:114 | approx_cum_ret:-0.57% | trade_ret:0.80% | eps:0.0014 | t_time:2010-04-09 15:00:00-04:00 | idx:5213
r_time:10:52:45 01.08.2022 | Trade:008 | pos:-1 | len:4 | approx_cum_ret:-0.71% | trade_ret:-0.13% | eps:0.0012 | t_time:2010-04-09 15:40:00-04:00 | idx:5221
r_time:11:01:20 01.08.2022 | Trade:009 | pos:1 | len:76 | approx_cum_ret:-0.35% | trade_ret:0.35% | eps:0.0012 | t_time:2010-04-12 15:35:00-04:00 | idx:5298
r_time:11:06:02 01.08.2022 | Trade:010 | pos:-1 | len:39 | approx_cum_ret:-0.13% | trade_ret:0.22% | eps:0.0011 | t_time:2010-04-13 12:25:00-04:00 | idx:5338
----saving weights, trade logs and replay buffer-----
r_time:11:30:34 01.08.2022 | Trade:011 | pos:1 | len:203 | approx_cum_ret:0.89% | trade_ret:1.02% | eps:0.0011 | t_time:2010-04-16 09:55:00-04:00 | idx:5542
r_time:11:31:21 01.08.2022 | Trade:012 | pos:-1 | len:5 | approx_cum_ret:0.51% | trade_ret:-0.37% | eps:0.0010 | t_time:2010-04-16 10:25:00-04:00 | idx:5548
r_time:11:31:59 01.08.2022 | Trade:013 | pos:1 | len:4 | approx_cum_ret:0.19% | trade_ret:-0.32% | eps:0.0010 | t_time:2010-04-16 10:50:00-04:00 | idx:5553
r_time:11:37:23 01.08.2022 | Trade:014 | pos:-1 | len:43 | approx_cum_ret:0.62% | trade_ret:0.43% | eps:0.0010 | t_time:2010-04-16 14:30:00-04:00 | idx:5597
r_time:11:41:06 01.08.2022 | Trade:015 | pos:1 | len:29 | approx_cum_ret:0.55% | trade_ret:-0.08% | eps:0.0010 | t_time:2010-04-19 10:30:00-04:00 | idx:5627
r_time:12:02:44 01.08.2022 | Trade:016 | pos:1 | len:138 | approx_cum_ret:1.67% | trade_ret:1.13% | eps:0.0010 | t_time:2010-04-21 13:15:00-04:00 | idx:5816
r_time:12:10:55 01.08.2022 | Trade:017 | pos:-1 | len:63 | approx_cum_ret:1.68% | trade_ret:0.01% | eps:0.0010 | t_time:2010-04-22 13:15:00-04:00 | idx:5894
r_time:12:27:44 01.08.2022 | Trade:018 | pos:1 | len:162 | approx_cum_ret:2.81% | trade_ret:1.12% | eps:0.0010 | t_time:2010-04-26 13:50:00-04:00 | idx:6057
r_time:12:30:24 01.08.2022 | Trade:019 | pos:-1 | len:22 | approx_cum_ret:3.01% | trade_ret:0.21% | eps:0.0010 | t_time:2010-04-26 15:45:00-04:00 | idx:6080
r_time:12:31:02 01.08.2022 | Trade:020 | pos:1 | len:5 | approx_cum_ret:2.42% | trade_ret:-0.59% | eps:0.0010 | t_time:2010-04-27 09:45:00-04:00 | idx:6086
----saving weights, trade logs and replay buffer-----
r_time:12:31:57 01.08.2022 | Trade:021 | pos:-1 | len:8 | approx_cum_ret:2.37% | trade_ret:-0.05% | eps:0.0010 | t_time:2010-04-27 10:30:00-04:00 | idx:6095
r_time:12:32:18 01.08.2022 | Trade:022 | pos:-1 | len:3 | approx_cum_ret:2.24% | trade_ret:-0.13% | eps:0.0010 | t_time:2010-04-27 10:50:00-04:00 | idx:6099
r_time:12:32:42 01.08.2022 | Trade:023 | pos:1 | len:3 | approx_cum_ret:2.17% | trade_ret:-0.07% | eps:0.0010 | t_time:2010-04-27 11:10:00-04:00 | idx:6103
r_time:12:35:25 01.08.2022 | Trade:024 | pos:-1 | len:26 | approx_cum_ret:3.02% | trade_ret:0.85% | eps:0.0010 | t_time:2010-04-27 13:25:00-04:00 | idx:6130
