r_time:22:55:14 19.08.2022 | Trade:001 | pos:1 | len:1 | approx_cum_ret:0.00% | trade_ret:0.00% | eps:1.0010 | t_time:2010-04-07 10:25:00-04:00 | idx:5002
r_time:23:02:59 19.08.2022 | Trade:002 | pos:1 | len:103 | approx_cum_ret:-0.27% | trade_ret:-0.27% | eps:0.0635 | t_time:2010-04-08 12:35:00-04:00 | idx:5106
r_time:23:08:57 19.08.2022 | Trade:003 | pos:1 | len:56 | approx_cum_ret:0.27% | trade_ret:0.54% | eps:0.0133 | t_time:2010-04-09 10:50:00-04:00 | idx:5163
r_time:23:12:18 19.08.2022 | Trade:004 | pos:1 | len:36 | approx_cum_ret:0.35% | trade_ret:0.08% | eps:0.0049 | t_time:2010-04-09 13:55:00-04:00 | idx:5200
r_time:00:48:53 20.08.2022 | Trade:005 | pos:1 | len:1012 | approx_cum_ret:0.41% | trade_ret:0.06% | eps:0.0026 | t_time:2010-04-28 13:50:00-04:00 | idx:6213
r_time:03:04:31 20.08.2022 | Trade:006 | pos:1 | len:1374 | approx_cum_ret:-8.38% | trade_ret:-8.78% | eps:0.0018 | t_time:2010-05-24 11:25:00-04:00 | idx:7588
r_time:03:05:21 20.08.2022 | Trade:007 | pos:-1 | len:8 | approx_cum_ret:-8.74% | trade_ret:-0.36% | eps:0.0014 | t_time:2010-05-24 12:10:00-04:00 | idx:7597
r_time:03:07:18 20.08.2022 | Trade:008 | pos:1 | len:19 | approx_cum_ret:-9.19% | trade_ret:-0.45% | eps:0.0012 | t_time:2010-05-24 13:50:00-04:00 | idx:7617
r_time:03:17:55 20.08.2022 | Trade:009 | pos:1 | len:94 | approx_cum_ret:-8.71% | trade_ret:0.48% | eps:0.0012 | t_time:2010-05-26 09:45:00-04:00 | idx:7724
r_time:03:30:46 20.08.2022 | Trade:010 | pos:-1 | len:129 | approx_cum_ret:-9.39% | trade_ret:-0.69% | eps:0.0011 | t_time:2010-05-27 14:05:00-04:00 | idx:7854
----saving weights, trade logs and replay buffer-----
r_time:03:31:20 20.08.2022 | Trade:011 | pos:1 | len:5 | approx_cum_ret:-8.97% | trade_ret:0.42% | eps:0.0011 | t_time:2010-05-27 14:35:00-04:00 | idx:7860
r_time:03:33:57 20.08.2022 | Trade:012 | pos:-1 | len:15 | approx_cum_ret:-9.19% | trade_ret:-0.22% | eps:0.0010 | t_time:2010-05-28 10:10:00-04:00 | idx:7885
r_time:04:17:27 20.08.2022 | Trade:013 | pos:1 | len:438 | approx_cum_ret:-12.55% | trade_ret:-3.36% | eps:0.0010 | t_time:2010-06-07 14:15:00-04:00 | idx:8324
r_time:04:19:07 20.08.2022 | Trade:014 | pos:-1 | len:15 | approx_cum_ret:-11.58% | trade_ret:0.97% | eps:0.0010 | t_time:2010-06-07 15:35:00-04:00 | idx:8340
r_time:04:27:25 20.08.2022 | Trade:015 | pos:1 | len:79 | approx_cum_ret:-10.91% | trade_ret:0.67% | eps:0.0010 | t_time:2010-06-08 15:45:00-04:00 | idx:8420
r_time:04:29:26 20.08.2022 | Trade:016 | pos:-1 | len:21 | approx_cum_ret:-11.75% | trade_ret:-0.84% | eps:0.0010 | t_time:2010-06-09 11:05:00-04:00 | idx:8442
r_time:04:30:00 20.08.2022 | Trade:017 | pos:1 | len:5 | approx_cum_ret:-11.29% | trade_ret:0.46% | eps:0.0010 | t_time:2010-06-09 11:35:00-04:00 | idx:8448
r_time:04:32:20 20.08.2022 | Trade:018 | pos:-1 | len:21 | approx_cum_ret:-11.04% | trade_ret:0.25% | eps:0.0010 | t_time:2010-06-09 13:25:00-04:00 | idx:8470
r_time:04:33:51 20.08.2022 | Trade:019 | pos:-1 | len:13 | approx_cum_ret:-10.80% | trade_ret:0.23% | eps:0.0010 | t_time:2010-06-09 14:35:00-04:00 | idx:8484
r_time:04:42:16 20.08.2022 | Trade:020 | pos:1 | len:80 | approx_cum_ret:-9.45% | trade_ret:1.35% | eps:0.0010 | t_time:2010-06-10 14:50:00-04:00 | idx:8565
----saving weights, trade logs and replay buffer-----
r_time:04:43:41 20.08.2022 | Trade:021 | pos:-1 | len:15 | approx_cum_ret:-8.98% | trade_ret:0.47% | eps:0.0010 | t_time:2010-06-11 09:40:00-04:00 | idx:8581
r_time:04:44:25 20.08.2022 | Trade:022 | pos:-1 | len:7 | approx_cum_ret:-9.68% | trade_ret:-0.69% | eps:0.0010 | t_time:2010-06-11 10:20:00-04:00 | idx:8589
r_time:04:44:53 20.08.2022 | Trade:023 | pos:1 | len:4 | approx_cum_ret:-9.71% | trade_ret:-0.04% | eps:0.0010 | t_time:2010-06-11 10:45:00-04:00 | idx:8594
r_time:04:52:23 20.08.2022 | Trade:024 | pos:-1 | len:70 | approx_cum_ret:-10.83% | trade_ret:-1.11% | eps:0.0010 | t_time:2010-06-14 10:10:00-04:00 | idx:8665
r_time:05:54:17 20.08.2022 | Trade:025 | pos:1 | len:597 | approx_cum_ret:-11.43% | trade_ret:-0.60% | eps:0.0010 | t_time:2010-06-23 14:30:00-04:00 | idx:9263
r_time:05:55:11 20.08.2022 | Trade:026 | pos:-1 | len:9 | approx_cum_ret:-11.10% | trade_ret:0.33% | eps:0.0010 | t_time:2010-06-23 15:20:00-04:00 | idx:9273
r_time:05:55:39 20.08.2022 | Trade:027 | pos:1 | len:4 | approx_cum_ret:-10.79% | trade_ret:0.30% | eps:0.0010 | t_time:2010-06-23 15:45:00-04:00 | idx:9278
r_time:05:56:02 20.08.2022 | Trade:028 | pos:-1 | len:3 | approx_cum_ret:-10.56% | trade_ret:0.24% | eps:0.0010 | t_time:2010-06-24 09:35:00-04:00 | idx:9282
r_time:06:01:57 20.08.2022 | Trade:029 | pos:1 | len:52 | approx_cum_ret:-10.61% | trade_ret:-0.05% | eps:0.0010 | t_time:2010-06-24 14:10:00-04:00 | idx:9337
r_time:06:04:31 20.08.2022 | Trade:030 | pos:-1 | len:23 | approx_cum_ret:-9.79% | trade_ret:0.82% | eps:0.0010 | t_time:2010-06-25 09:40:00-04:00 | idx:9361
----saving weights, trade logs and replay buffer-----
r_time:06:09:06 20.08.2022 | Trade:031 | pos:1 | len:43 | approx_cum_ret:-9.64% | trade_ret:0.15% | eps:0.0010 | t_time:2010-06-25 13:20:00-04:00 | idx:9405
r_time:06:09:22 20.08.2022 | Trade:032 | pos:1 | len:2 | approx_cum_ret:-9.37% | trade_ret:0.27% | eps:0.0010 | t_time:2010-06-25 13:35:00-04:00 | idx:9408
r_time:06:10:45 20.08.2022 | Trade:033 | pos:-1 | len:12 | approx_cum_ret:-9.30% | trade_ret:0.06% | eps:0.0010 | t_time:2010-06-25 14:40:00-04:00 | idx:9421
r_time:06:11:34 20.08.2022 | Trade:034 | pos:-1 | len:7 | approx_cum_ret:-9.15% | trade_ret:0.16% | eps:0.0010 | t_time:2010-06-25 15:20:00-04:00 | idx:9429
r_time:06:11:55 20.08.2022 | Trade:035 | pos:-1 | len:2 | approx_cum_ret:-9.21% | trade_ret:-0.07% | eps:0.0010 | t_time:2010-06-25 15:35:00-04:00 | idx:9432
r_time:06:15:28 20.08.2022 | Trade:036 | pos:1 | len:34 | approx_cum_ret:-9.29% | trade_ret:-0.07% | eps:0.0010 | t_time:2010-06-28 12:00:00-04:00 | idx:9467
r_time:06:16:51 20.08.2022 | Trade:037 | pos:1 | len:13 | approx_cum_ret:-9.54% | trade_ret:-0.25% | eps:0.0010 | t_time:2010-06-28 13:10:00-04:00 | idx:9481
r_time:06:17:15 20.08.2022 | Trade:038 | pos:1 | len:3 | approx_cum_ret:-9.59% | trade_ret:-0.05% | eps:0.0010 | t_time:2010-06-28 13:30:00-04:00 | idx:9485
r_time:06:17:33 20.08.2022 | Trade:039 | pos:-1 | len:2 | approx_cum_ret:-9.56% | trade_ret:0.03% | eps:0.0010 | t_time:2010-06-28 13:45:00-04:00 | idx:9488
r_time:06:40:44 20.08.2022 | Trade:040 | pos:1 | len:237 | approx_cum_ret:-14.09% | trade_ret:-4.53% | eps:0.0010 | t_time:2010-07-01 14:05:00-04:00 | idx:9726
----saving weights, trade logs and replay buffer-----
r_time:06:41:28 20.08.2022 | Trade:041 | pos:1 | len:7 | approx_cum_ret:-14.25% | trade_ret:-0.17% | eps:0.0010 | t_time:2010-07-01 14:45:00-04:00 | idx:9734
r_time:06:41:55 20.08.2022 | Trade:042 | pos:-1 | len:4 | approx_cum_ret:-14.65% | trade_ret:-0.40% | eps:0.0010 | t_time:2010-07-01 15:10:00-04:00 | idx:9739
r_time:06:43:07 20.08.2022 | Trade:043 | pos:1 | len:12 | approx_cum_ret:-14.20% | trade_ret:0.46% | eps:0.0010 | t_time:2010-07-02 09:45:00-04:00 | idx:9752
r_time:06:50:13 20.08.2022 | Trade:044 | pos:1 | len:70 | approx_cum_ret:-14.66% | trade_ret:-0.47% | eps:0.0010 | t_time:2010-07-02 15:40:00-04:00 | idx:9823
r_time:06:50:40 20.08.2022 | Trade:045 | pos:-1 | len:4 | approx_cum_ret:-14.02% | trade_ret:0.65% | eps:0.0010 | t_time:2010-07-06 09:35:00-04:00 | idx:9828
r_time:06:50:56 20.08.2022 | Trade:046 | pos:-1 | len:2 | approx_cum_ret:-13.95% | trade_ret:0.07% | eps:0.0010 | t_time:2010-07-06 09:50:00-04:00 | idx:9831
r_time:06:51:17 20.08.2022 | Trade:047 | pos:1 | len:2 | approx_cum_ret:-13.89% | trade_ret:0.06% | eps:0.0010 | t_time:2010-07-06 10:05:00-04:00 | idx:9834
r_time:06:52:32 20.08.2022 | Trade:048 | pos:-1 | len:10 | approx_cum_ret:-13.91% | trade_ret:-0.02% | eps:0.0010 | t_time:2010-07-06 11:00:00-04:00 | idx:9845
r_time:07:03:56 20.08.2022 | Trade:049 | pos:1 | len:106 | approx_cum_ret:-12.98% | trade_ret:0.93% | eps:0.0010 | t_time:2010-07-07 13:25:00-04:00 | idx:9952
r_time:07:04:53 20.08.2022 | Trade:050 | pos:-1 | len:8 | approx_cum_ret:-13.18% | trade_ret:-0.20% | eps:0.0010 | t_time:2010-07-07 14:10:00-04:00 | idx:9961
----saving weights, trade logs and replay buffer-----
r_time:07:05:12 20.08.2022 | Trade:051 | pos:-1 | len:2 | approx_cum_ret:-13.16% | trade_ret:0.02% | eps:0.0010 | t_time:2010-07-07 14:25:00-04:00 | idx:9964
r_time:07:05:50 20.08.2022 | Trade:052 | pos:-1 | len:5 | approx_cum_ret:-13.12% | trade_ret:0.04% | eps:0.0010 | t_time:2010-07-07 14:55:00-04:00 | idx:9970
r_time:07:06:08 20.08.2022 | Trade:053 | pos:1 | len:2 | approx_cum_ret:-13.16% | trade_ret:-0.04% | eps:0.0010 | t_time:2010-07-07 15:10:00-04:00 | idx:9973
r_time:07:07:49 20.08.2022 | Trade:054 | pos:-1 | len:17 | approx_cum_ret:-14.65% | trade_ret:-1.49% | eps:0.0010 | t_time:2010-07-08 10:10:00-04:00 | idx:9991
r_time:08:08:10 20.08.2022 | Trade:055 | pos:1 | len:595 | approx_cum_ret:-14.31% | trade_ret:0.35% | eps:0.0010 | t_time:2010-07-19 14:20:00-04:00 | idx:10587
r_time:08:10:21 20.08.2022 | Trade:056 | pos:-1 | len:20 | approx_cum_ret:-14.53% | trade_ret:-0.22% | eps:0.0010 | t_time:2010-07-20 09:35:00-04:00 | idx:10608
r_time:08:14:43 20.08.2022 | Trade:057 | pos:1 | len:4 | approx_cum_ret:-14.44% | trade_ret:0.09% | eps:0.0010 | t_time:2010-07-20 13:35:00-04:00 | idx:10656
r_time:08:16:15 20.08.2022 | Trade:058 | pos:-1 | len:14 | approx_cum_ret:-14.95% | trade_ret:-0.51% | eps:0.0010 | t_time:2010-07-20 14:50:00-04:00 | idx:10671
r_time:08:16:48 20.08.2022 | Trade:059 | pos:1 | len:5 | approx_cum_ret:-14.77% | trade_ret:0.18% | eps:0.0010 | t_time:2010-07-20 15:20:00-04:00 | idx:10677
r_time:08:18:01 20.08.2022 | Trade:060 | pos:-1 | len:10 | approx_cum_ret:-15.40% | trade_ret:-0.63% | eps:0.0010 | t_time:2010-07-21 09:45:00-04:00 | idx:10688
----saving weights, trade logs and replay buffer-----
r_time:10:39:30 20.08.2022 | Trade:061 | pos:1 | len:1386 | approx_cum_ret:-15.41% | trade_ret:-0.01% | eps:0.0010 | t_time:2010-08-13 14:50:00-04:00 | idx:12075
